time_s,pos_x_m,pos_z_m,heading_deg,chassis_speed_mps,chassis_accel_mps2,camera_top_speed_mps,camera_top_accel_mps2,camera_top_jerk_mps3,angular_speed_degps
0,2.1,0.3,-90,0,0,0,0,0,0
0.02,2.1,0.3,-90,0,0,5.03188E-08,2.51594E-06,0,0
0.04,2.1,0.3,-90,1.64105E-10,8.20526E-09,1.09518E-08,1.97906E-06,0.000224686,3.18511E-15
0.06,2.1,0.3,-90,4.95782E-06,0.000247889,4.9432E-06,0.000247621,0.0123119,1.21948E-05
0.08,2.1,0.3,-90,4.04519E-05,0.00177471,4.04133E-05,0.00177351,0.0762944,1.26274E-05
0.1,2.1,0.3,-90,0.000139656,0.0049602,0.000139643,0.00496151,0.1594,1.81275E-05
0.12,2.09999,0.3,-90,0.000341605,0.0100975,0.000341567,0.0100962,0.256735,1.85219E-05
0.14,2.09998,0.3,-90,0.000686543,0.0172469,0.000686527,0.017248,0.35759,2.10066E-05
0.16,2.09995,0.3,-90,0.0012158,0.0264627,0.00121575,0.0264614,0.460669,2.1268E-05
0.18,2.09991,0.3,-90,0.00196838,0.0376294,0.00196837,0.0376309,0.558478,2.23905E-05
0.2,2.09985,0.3,-90,0.00298209,0.0506854,0.00298208,0.0506853,0.652718,2.25431E-05
0.22,2.09977,0.3,-90,0.00429231,0.065511,0.00429232,0.0655123,0.74135,2.30485E-05
0.24,2.09965,0.3,-90,0.00593142,0.0819554,0.00593143,0.0819553,0.82215,2.313E-05
0.26,2.09949,0.3,-90,0.00792982,0.0999204,0.00792983,0.0999202,0.89825,2.32367E-05
0.28,2.09928,0.3,-90,0.0103142,0.11922,0.0103142,0.119219,0.964918,2.3272E-05
0.3,2.09902,0.3,-90,0.0131095,0.139762,0.0131094,0.139761,1.02711,2.35531E-05
0.32,2.09869,0.3,-90,0.0163371,0.161383,0.0163371,0.161385,1.0812,2.3574E-05
0.34,2.09829,0.3,-90,0.0200162,0.183956,0.0200162,0.183955,1.12854,2.36962E-05
0.36,2.09781,0.3,-90,0.0241633,0.207353,0.0241633,0.207354,1.16995,2.3705E-05
0.38,2.09724,0.3,-90,0.0287924,0.231457,0.0287924,0.231456,1.2051,2.37554E-05
0.4,2.09656,0.3,-90,0.0339147,0.256114,0.0339147,0.256113,1.23283,2.37563E-05
0.42,2.09577,0.299996,-90,0.0395395,0.281241,0.0395441,0.281473,1.26825,2.37742E-05
0.44,2.09486,0.299996,-90,0.0456753,0.30679,0.0455213,0.298884,0.901043,2.38095E-05
0.46,2.09381,0.299996,-90,0.0523297,0.332721,0.0521425,0.331061,1.61937,7.40126E-05
0.48,2.09262,0.299999,-90,0.0594959,0.358308,0.0593747,0.361619,1.53451,9.28426E-05
0.5,2.09127,0.3,-90,0.0671767,0.384039,0.0671517,0.388857,1.36206,0.000125563
0.52,2.08977,0.3,-90,0.0753665,0.409494,0.0753616,0.410494,1.08384,7.64337E-05
0.54,2.08808,0.3,-90,0.0840715,0.43525,0.0840715,0.435497,1.25016,7.42212E-05
0.56,2.08622,0.3,-90,0.0932827,0.460557,0.0932827,0.460558,1.25323,4.63317E-05
0.58,2.08416,0.3,-90,0.102994,0.485584,0.102994,0.485584,1.25131,4.24339E-05
0.6,2.08189,0.3,-90,0.113197,0.510117,0.113197,0.510115,1.22652,2.97364E-05
